Description,Part Reference,Qty,Part Num,Manufacturer / Datasheet,Distributor,Notes,,,
,,,,,,,,,
ABS Case,,1,Pactec PT-10,,"Mouser,PacTec",http://www.pactecenclosures.com/Plastic-Enclosures/PT-10.html,,,
Set of main and I/O panels,,1,,Custom,Adafruit,,,,
Set of main and I/O PCBs,,1,,Custom,Adafruit,,,,
ATmega162 microcontroller,IC3,1,Atmega162-16PU,,"Mouser,Digikey",For programmed version Adafruit,,,
9VAC 300-500mA wall wart 2.1mm barrel adaptor,,1,,,,,,,
2SA733P TO-92 PNP transistor,Q1* Q2* Q8 Q9 Q10 Q27 Q31 Q33 Q36 Q38,10,Fairchild 2SA733P,,Mouser,,,,
2SC536F TO-92 NPN transistor,Q3* Q4* Q5 Q11 Q13 Q23 Q14 Q15 Q16 Q17 Q18 Q19 Q20 Q24 Q25 Q29 Q30 Q32 Q34 Q35 Q37 Q40 Q41 Q50,24,,Rare,https://www.ladyada.net/wiki/x0x/rareparts,,,,
2SK30 JFET,Q28 Q39,2,,Rare,https://www.ladyada.net/wiki/x0x/rareparts ,May be 2SK30AY and 2SK30AO see the instructions for which one to put where.,,,
2SC2291 5-SIP matched pair with common base,Q22,1,,Rare,https://www.ladyada.net/wiki/x0x/rareparts,,,,
2SC1583 5-SIP matched pair with common emitter,Q12 Q21 Q26,3,,Rare,https://www.ladyada.net/wiki/x0x/rareparts,,,,
LA4140 9-SIP Headphone amplifier,IC14,1,,Rare,https://www.ladyada.net/wiki/x0x/rareparts,,,,
BA6110 (9-SIP) Operational Transconductance Amplifier,IC15B*,1,,Rare,https://www.ladyada.net/wiki/x0x/rareparts,,,,
BA662A (9-SIP) Operational Transconductance Amplifier,IC15A*,(optional),,Extremely rare,https://www.ladyada.net/wiki/x0x/rareparts,,,,
7805 (TO-220) 5V 1A voltage regulator,IC20,1,,,,,,,
7806 (TO-92) 6V 100mA voltage regulator,IC21,1,,,,,,,
LM336Z-5.0 (TO-92) 5V precision voltage reference,IC22,1,,,,,,,
FT232 USB chip,IC25,1,FT232BM,,,,,,
6MHz ceramic resonator,XTAL2,1,AWCR-6.00MD ,Abracon ,,http://www.abracon.com/Resonators/awcr.pdf,,,
